t-SNE Feature 1,t-SNE Feature 2,cluster
-10.238873,-18.451101,2
-11.372583,-30.685007,2
9.689238,25.283943,6
33.96326,41.1403,4
39.08769,43.12796,4
0.8761537,-58.14773,2
-49.07533,17.617691,5
-44.428024,15.345767,5
26.134497,57.384537,4
-10.860904,-22.87967,2
-27.426125,87.02952,3
-2.2955706,-20.820946,2
25.580471,-47.33063,8
59.058525,24.386015,7
41.608845,-55.728607,8
22.882315,86.49285,3
29.190315,-38.97395,8
-93.98991,15.488328,3
10.100581,-66.3792,2
-15.897779,-51.3625,10
-4.741982,-54.053062,2
-11.642853,45.36286,0
-2.798456,-10.7948265,2
-30.137045,15.477836,11
29.434866,49.464535,4
-52.604282,-18.661179,9
32.004536,-39.091827,8
-36.427128,-47.22209,10
-3.7457483,-55.99395,2
-40.152542,69.920204,3
42.79141,-44.705986,8
-50.47002,8.246934,5
-12.531286,-20.682981,2
41.33408,-39.563484,8
0.6400949,13.840579,6
50.91222,20.724787,7
-14.555977,16.960917,11
-11.499405,-50.66635,10
33.196606,-8.765068,12
-7.863655,-26.6466,2
-59.137833,65.95846,3
-27.758759,-44.84211,10
30.104877,-0.48932007,12
-11.255602,42.162117,0
30.398193,-16.763395,12
-1.2259994,-74.18749,2
45.19504,13.4888735,7
71.889565,-24.72702,1
37.37947,43.63243,4
-27.426125,87.02952,3
-73.001724,48.50828,3
-45.260162,-30.502644,9
-14.271713,61.765606,0
-58.939846,13.044035,5
71.889565,-24.72702,1
-57.625927,11.367382,5
-1.904471,47.02821,0
-40.152542,69.920204,3
-9.299015,-21.256886,2
63.476093,8.639292,7
57.746613,7.8593307,7
26.838747,54.999683,4
-59.137833,65.95846,3
-25.13766,-60.098244,10
25.928947,-46.044945,8
-30.107397,12.172276,11
-50.074245,-18.682838,9
-1.1313428,48.347717,0
5.259036,11.255611,6
12.43394,11.765645,6
71.889565,-24.72702,1
-73.001724,48.50828,3
61.059242,9.968089,7
0.30827326,-75.02566,2
-52.37659,-13.072124,9
-27.426125,87.02952,3
42.20824,-55.81096,8
32.085453,-48.17383,8
-6.2555895,54.46404,0
21.57378,45.68209,4
-1.2406929,53.16143,0
-27.000954,17.627481,11
-7.934749,-28.473284,2
31.147026,46.51482,4
-8.172621,-12.486703,2
28.822527,-52.398342,8
0.46693003,-65.447044,2
4.705173,9.122437,6
14.292387,26.991873,6
32.665215,48.854076,4
32.673946,48.81216,4
37.584904,-44.156956,8
71.889565,-24.72702,1
52.14841,13.347601,7
3.9437585,53.51264,0
-14.061667,11.984839,11
-33.72733,-40.697857,10
51.997387,15.459197,7
36.7723,50.55855,4
1.184297,55.074444,0
-14.305663,16.875404,11
-8.008837,49.73369,0
-43.274483,-16.047894,9
-18.44794,-38.465164,10
23.895416,52.007908,4
5.3302903,-45.286175,2
-56.219566,-27.611225,9
-0.060296994,-48.063175,2
-61.37746,17.16239,5
-53.11297,20.570824,5
3.9906225,-22.433538,2
71.889565,-24.72702,1
4.2871847,-44.846447,2
28.210804,-14.748324,12
-1.0613555,90.75868,3
-9.352463,56.77875,0
3.6826823,23.970594,6
-45.769024,-26.88314,9
-0.59797496,-55.694267,2
16.091942,21.605331,6
-11.206328,54.924816,0
28.747822,55.476055,4
71.889565,-24.72702,1
47.02875,19.126411,7
24.59541,-15.508044,12
-58.40421,7.709587,5
2.6593986,-47.61108,2
4.949156,21.068487,6
31.292494,57.61484,4
3.4752,-24.864508,2
-9.959304,-14.522303,2
-44.78819,48.407074,3
-47.781868,17.609203,5
-61.9867,13.495647,5
-50.194027,-15.125804,9
-21.953934,12.157819,11
43.536854,-53.910122,8
52.245895,14.304869,7
9.890746,26.002077,6
-1.4631501,-24.503222,2
32.584087,-50.01903,8
18.660109,14.009423,6
30.446173,-40.491745,8
3.8790507,-62.62153,2
-27.103159,5.639587,11
-20.069233,13.482227,11
-36.243435,-49.830368,10
-14.205998,-26.596722,2
